ts,product,size_threshold,bid_open_xch,bid_open,bid_high_xch,bid_high,bid_low_xch,bid_low,bid_close_xch,bid_close,bid_qty_close,ask_open_xch,ask_open,ask_high_xch,ask_high,ask_low_xch,ask_low,ask_close_xch,ask_close,ask_qty_close,mid_open,mid_high,mid_low,mid_close
2021-09-25 15:52:00,BTC-USD,0.0,kraken,42701.00000000,kraken,42701.00000000,bitstamp,42681.52000000,gemini,42689.28000000,0.0003829,gdax,42663.71000000,kraken,42687.50000000,gdax,42655.72000000,gdax,42681.08000000,0.00194841,42682.355000000000,42694.250000000000,42668.620000000000,42685.180000000000
2021-09-25 15:53:00,BTC-USD,0.0,gdax,42695.40000000,gdax,42723.51000000,kraken,42717.40000000,kraken,42679.70000000,0.00735600,gemini,42693.38000000,kraken,42679.80000000,gdax,42657.56000000,gdax,42660.11000000,0.11720632,42694.390000000000,42701.655000000000,42687.480000000000,42669.905000000000
2021-09-25 15:54:00,BTC-USD,0.0,kraken,42679.70000000,gemini,42694.10000000,bitstamp,42684.76000000,kraken,42679.70000000,0.00735600,gdax,42660.78000000,kraken,42679.80000000,gdax,42657.80000000,gdax,42664.49000000,0.1,42670.240000000000,42686.950000000000,42671.280000000000,42672.095000000000
2021-09-25 15:55:00,BTC-USD,0.0,kraken,42679.70000000,gdax,42733.18000000,kraken,42718.50000000,gemini,42731.93000000,0.39096698,gdax,42660.42000000,kraken,42679.80000000,gdax,42656.80000000,kraken,42718.60000000,0.00197440,42670.060000000000,42706.490000000000,42687.650000000000,42725.265000000000
2021-09-25 15:56:00,BTC-USD,0.0,gdax,42729.71000000,gdax,42729.71000000,bitstamp,42715.37000000,gemini,42706.79000000,0.00736649,kraken,42718.60000000,gemini,42706.20000000,gdax,42689.87000000,gdax,42689.87000000,0.1412,42724.155000000000,42717.955000000000,42702.620000000000,42698.330000000000
2021-09-25 15:57:00,BTC-USD,0.0,gemini,42706.79000000,gemini,42706.79000000,bitstamp,42683.26000000,gemini,42681.38000000,0.11,gdax,42689.87000000,gemini,42683.50000000,gdax,42674.04000000,gdax,42676.05000000,0.11716178,42698.330000000000,42695.145000000000,42678.650000000000,42678.715000000000
2021-09-25 15:58:00,BTC-USD,0.0,gemini,42687.12000000,gemini,42719.46000000,kraken,42689.90000000,gemini,42714.40000000,0.0091273,gdax,42684.92000000,bitstamp,42691.06000000,gdax,42678.90000000,kraken,42690.00000000,0.08551945,42686.020000000000,42705.260000000000,42684.400000000000,42702.200000000000
2021-09-25 15:59:00,BTC-USD,0.0,gemini,42714.40000000,gemini,42714.40000000,kraken,42689.90000000,gemini,42703.08000000,0.01242199,kraken,42690.00000000,bitstamp,42702.11000000,kraken,42690.00000000,kraken,42690.00000000,0.09689507,42702.200000000000,42708.255000000000,42689.950000000000,42696.540000000000
2021-09-25 16:00:00,BTC-USD,0.0,gemini,42699.29000000,gemini,42720.88000000,kraken,42689.90000000,gemini,42711.60000000,0.01320204,kraken,42690.00000000,gemini,42700.33000000,gdax,42684.08000000,kraken,42690.00000000,0.09250487,42694.645000000000,42710.605000000000,42686.990000000000,42700.800000000000
2021-09-25 16:01:00,BTC-USD,0.0,gemini,42710.46000000,gdax,42764.73000000,kraken,42748.70000000,gemini,42761.97000000,0.06,kraken,42690.00000000,gemini,42709.48000000,kraken,42690.00000000,kraken,42748.80000000,0.00091775,42700.230000000000,42737.105000000000,42719.350000000000,42755.385000000000
